,recordType,settlementDay,volume,dailyEnergyVolumeNormalReference,dailyEnergyVolumeLowReference,dailyEnergyVolumeHighReference,activeFlag
0,INDOD,2021-08-01,545099,523288,504906,535306,Y
1,INDOD,2021-08-02,608402,628795,610413,640814,Y
2,INDOD,2021-08-03,606870,628520,610845,640539,Y
3,INDOD,2021-08-04,594511,629044,611370,641062,Y
4,INDOD,2021-08-05,596782,630070,611688,641382,Y
5,INDOD,2021-08-06,566709,616016,598341,627328,Y
6,INDOD,2021-08-07,528771,543060,525386,554372,Y
7,INDOD,2021-08-08,511378,527200,509525,538512,Y
8,INDOD,2021-08-09,598506,631974,615006,643286,Y
9,INDOD,2021-08-10,606851,632552,615584,643864,Y
10,INDOD,2021-08-11,606775,633048,616080,644360,Y
11,INDOD,2021-08-12,599532,633648,616680,644960,Y
12,INDOD,2021-08-13,567374,620370,603402,630974,Y
13,INDOD,2021-08-14,539090,547618,531358,558930,Y
14,INDOD,2021-08-15,540922,532094,515834,542700,Y
15,INDOD,2021-08-16,598526,636494,620232,647806,Y
16,INDOD,2021-08-17,626249,637982,621722,649294,Y
17,INDOD,2021-08-18,624089,638688,622427,649292,Y
18,INDOD,2021-08-19,649463,639495,623941,650807,Y
19,INDOD,2021-08-20,644518,625636,610084,636242,Y
20,INDOD,2021-08-21,596857,553750,538903,565062,Y
21,INDOD,2021-08-22,568906,538042,523196,549354,Y
22,INDOD,2021-08-23,634758,643219,627665,654531,Y
23,INDOD,2021-08-24,634397,644648,629094,655252,Y
24,INDOD,2021-08-25,641892,644578,629730,655890,Y
25,INDOD,2021-08-26,624346,646014,631167,657326,Y
26,INDOD,2021-08-27,627502,631486,616639,642798,Y
27,INDOD,2021-08-28,556976,560211,545364,571523,Y
28,INDOD,2021-08-29,540253,544656,529810,555262,Y
29,INDOD,2021-08-30,578467,564704,549858,575308,Y
30,INDOD,2021-08-31,636278,650570,636430,661880,Y
31,INDOD,2021-09-01,650911,652562,638422,663874,Y
32,INDOD,2021-09-02,653861,655927,641788,667239,Y
33,INDOD,2021-09-03,644736,644289,630149,655601,Y
34,INDOD,2021-09-04,580921,575710,561572,587022,Y
35,INDOD,2021-09-05,559397,561542,547402,572854,Y
36,INDOD,2021-09-06,647188,665986,651846,677298,Y
37,INDOD,2021-09-07,643939,667766,653626,679078,Y
38,INDOD,2021-09-08,651088,668042,654609,680061,Y
39,INDOD,2021-09-09,668275,668840,655408,680860,Y
40,INDOD,2021-09-10,663877,655629,642196,667648,Y
41,INDOD,2021-09-11,566404,583496,570062,595514,Y
42,INDOD,2021-09-12,579155,567744,554310,579762,Y
43,INDOD,2021-09-13,655626,672150,658718,684170,Y
44,INDOD,2021-09-14,678960,673501,660068,685520,Y
45,INDOD,2021-09-15,657923,674057,660624,686076,Y
46,INDOD,2021-09-16,650417,674812,661379,686831,Y
47,INDOD,2021-09-17,626742,661554,648122,673574,Y
48,INDOD,2021-09-18,580708,589374,575941,601393,Y
49,INDOD,2021-09-19,576015,573564,560132,585582,Y
50,INDOD,2021-09-20,632319,677908,664476,689927,Y
51,INDOD,2021-09-21,634925,679200,665766,691218,Y
52,INDOD,2021-09-22,608083,680478,667046,693204,Y
53,INDOD,2021-09-23,611915,680378,666946,693104,Y
54,INDOD,2021-09-24,607834,667056,653623,679781,Y
55,INDOD,2021-09-25,604428,594810,581378,607536,Y
56,INDOD,2021-09-26,549496,578368,564934,591092,Y
57,INDOD,2021-09-27,596139,684043,670610,696769,Y
58,INDOD,2021-09-28,652225,684500,671068,697934,Y
59,INDOD,2021-09-29,628746,685753,672321,699186,Y
60,INDOD,2021-09-30,661898,686428,672994,699860,Y
61,INDOD,2021-10-01,606052,672300,658866,686440,Y
62,INDOD,2021-10-02,616145,601557,587417,614990,Y
63,INDOD,2021-10-03,558792,584325,570185,597758,Y
64,INDOD,2021-10-04,668338,690010,675870,704150,Y
65,INDOD,2021-10-05,662587,691860,677014,705294,Y
66,INDOD,2021-10-06,670300,692220,676666,706360,Y
67,INDOD,2021-10-07,676238,692920,677366,707766,Y
68,INDOD,2021-10-08,682325,679491,663937,694338,Y
69,INDOD,2021-10-09,610708,608122,591862,622970,Y
70,INDOD,2021-10-10,585269,592041,575780,607595,Y
71,INDOD,2021-10-11,666349,697764,681504,713318,Y
72,INDOD,2021-10-12,703300,698234,681973,714495,Y
73,INDOD,2021-10-13,701279,699200,682233,715461,Y
74,INDOD,2021-10-14,674657,700380,683412,717348,Y
75,INDOD,2021-10-15,694526,686980,670012,704655,Y
76,INDOD,2021-10-16,648061,614796,597828,633178,Y
77,INDOD,2021-10-17,618433,598868,581900,617956,Y
78,INDOD,2021-10-18,708182,704610,687642,724406,Y
79,INDOD,2021-10-19,682195,704580,686904,724376,Y
80,INDOD,2021-10-20,667895,703818,686143,724321,Y
81,INDOD,2021-10-21,664231,703334,685658,724544,Y
82,INDOD,2021-10-22,698642,688003,670328,709213,Y
83,INDOD,2021-10-23,638044,616874,599199,638791,Y
84,INDOD,2021-10-24,585842,598348,580672,620264,Y
85,INDOD,2021-10-25,676911,703384,686416,726715,Y
86,INDOD,2021-10-26,681897,703410,686442,726740,Y
87,INDOD,2021-10-27,656301,703945,686977,727276,Y
88,INDOD,2021-10-28,674710,704855,687887,728893,Y
89,INDOD,2021-10-29,676617,693442,676476,717480,Y
90,INDOD,2021-10-30,622100,624102,607134,648139,Y
91,INDOD,2021-10-31,627659,636194,602488,680156,Y
92,INDOD,2021-11-01,701384,740726,708487,784688,Y
93,INDOD,2021-11-02,754350,750192,716488,792688,Y
94,INDOD,2021-11-03,764318,752040,716870,793070,Y
95,INDOD,2021-11-04,771092,757144,723440,798176,Y
96,INDOD,2021-11-05,777103,753346,718176,792912,Y
97,INDOD,2021-11-06,635726,681076,645906,719176,Y
98,INDOD,2021-11-07,617643,670792,635624,708894,Y
99,INDOD,2021-11-08,764418,774569,739399,812669,Y
100,INDOD,2021-11-09,731878,778332,741696,814966,Y
101,INDOD,2021-11-10,769274,780286,743652,818388,Y
102,INDOD,2021-11-11,754997,783706,745606,820340,Y
103,INDOD,2021-11-12,692494,775180,738546,813280,Y
104,INDOD,2021-11-13,677214,701194,663094,739294,Y
105,INDOD,2021-11-14,686605,690196,652096,728296,Y
